PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2020;5;1;6;V;5;V;5;V;6;V;5;V;6;V;6;V;6;V;5;V;6;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;3;V;4;V;5;V;5;V
28;79;4;1;2020;5;2;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;4;V
28;79;4;1;2020;5;3;4;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;5;V;6;V;5;V;4;V;4;V;4;V;3;V;2;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V;4;V
28;79;4;1;2020;5;4;4;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;11;V;9;V;5;V;6;V;5;V;5;V;4;V;5;V;4;V;3;V;2;V;2;V;2;V;3;V;4;V;4;V
28;79;4;1;2020;5;5;4;V;4;V;4;V;5;V;5;V;5;V;5;V;6;V;6;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;4;V;3;V;3;V;4;V;5;V
28;79;4;1;2020;5;6;5;V;5;V;5;V;6;V;6;V;7;V;7;V;8;V;10;V;10;V;8;V;6;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;2;V;2;V;3;V;4;V;4;V
28;79;4;1;2020;5;7;5;V;5;V;5;V;6;V;5;V;6;V;6;V;6;V;8;V;6;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;4;V;4;V;4;V
28;79;4;1;2020;5;8;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;6;V;5;V;5;V;4;N;6;V;5;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;4;V
28;79;4;1;2020;5;9;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;4;V;4;V;5;V
28;79;4;1;2020;5;10;5;V;5;V;6;V;5;V;5;V;5;V;6;V;6;V;6;V;6;V;6;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;5;V;5;V;5;V
28;79;4;1;2020;5;11;6;V;5;V;5;V;5;V;6;V;6;V;5;V;7;V;6;V;6;V;6;V;5;V;5;V;6;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;5;V
28;79;4;1;2020;5;12;5;V;5;V;5;V;5;V;6;V;6;V;5;V;6;V;6;V;7;V;6;V;6;V;5;V;5;V;5;V;5;V;6;V;5;V;5;V;6;V;5;V;6;V;6;V;6;V
28;79;4;1;2020;5;13;6;V;5;V;6;V;7;V;7;V;5;V;6;V;6;N;0;N;1;N;4;V;6;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;5;V;5;V;5;V;6;V
28;79;4;1;2020;5;14;5;V;5;V;6;V;6;V;6;V;6;V;6;V;6;V;7;V;7;N;0;N;0;N;1;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2020;5;18;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;2;N;4;V;4;V;4;V;3;V;2;V;3;V;3;V;4;V;4;V
28;79;4;1;2020;5;19;4;V;5;V;5;V;5;V;5;V;7;V;9;V;13;V;17;V;9;V;8;V;9;V;7;V;4;V;5;V;6;V;7;V;5;V;3;V;2;V;2;V;3;V;3;V;4;V
28;79;4;1;2020;5;20;4;V;4;V;4;V;4;V;5;V;5;V;5;V;6;V;7;V;6;V;5;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;4;V
28;79;4;1;2020;5;21;4;V;4;V;5;V;5;V;5;V;5;V;6;V;6;V;8;V;9;V;5;V;5;V;4;V;4;V;3;N;2;V;3;V;3;V;2;V;2;V;2;V;3;V;4;V;4;V
28;79;4;1;2020;5;22;4;V;4;V;4;V;5;V;5;V;5;V;5;V;6;V;8;V;6;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;2;V;2;V;3;V;2;V;3;V;3;V;4;V
28;79;4;1;2020;5;23;4;V;5;V;4;V;5;V;5;V;5;V;5;V;7;V;9;V;6;V;5;V;5;V;4;V;4;V;3;V;2;V;3;V;2;V;2;V;3;V;2;V;3;V;3;V;4;V
28;79;4;1;2020;5;24;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;2;V;2;V;3;V;3;V;3;V;4;V
28;79;4;1;2020;5;25;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;6;V;5;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;4;V;3;V;3;V;3;V;4;V;4;V;5;V
28;79;4;1;2020;5;26;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;V;6;V;5;V;6;V;5;V;4;V;4;V;4;V;3;V;4;V;4;V;3;V;3;V;3;V;4;V;4;V
28;79;4;1;2020;5;27;4;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;6;N;5;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;3;V;4;V;4;V
28;79;4;1;2020;5;28;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;6;V;5;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;2;V;3;V;4;V;4;V
28;79;4;1;2020;5;29;4;V;4;V;5;V;4;V;4;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V
28;79;4;1;2020;5;30;4;V;4;V;4;V;4;V;4;V;5;V;4;V;5;V;5;V;5;V;4;V;4;V;5;V;4;V;3;V;3;V;3;V;2;V;2;V;2;V;3;V;3;V;3;V;4;V
28;79;4;1;2020;5;31;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;4;V;5;V;5;V;5;V;5;V
28;79;4;6;2020;5;1;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;2;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;3;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.5;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.4;V;0.2;V;0.1;V
28;79;4;6;2020;5;4;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.7;V;0.7;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.5;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;5;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;6;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.3;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;7;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.4;V;0.6;V;0.4;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;8;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.4;N;0.3;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;9;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;10;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;11;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;12;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;13;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;N;0;N;0.1;N;0.5;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;14;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;6;2020;5;18;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.6;N;0.6;N;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;19;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.3;V;0.2;V;0.1;V;0.2;V;0.2;V;0.1;V;0.1;V;0.2;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.1;V
28;79;4;6;2020;5;20;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.3;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;21;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.3;V;0.4;V;0.4;V;0.2;V;0.2;V;0.1;V;0.1;N;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
28;79;4;6;2020;5;22;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V;0.1;V
