PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2021;1;1;6;V;6;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;4;V;5;V;6;V;6;V;6;V;6;V;5;V;5;V;6;V;5;V;5;V;5;V;4;V
28;79;4;1;2021;1;2;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;4;V;5;V;6;V;8;V;8;V;9;V;8;V;8;V;7;V;6;V;6;V;6;V;5;V
28;79;4;1;2021;1;3;6;V;5;V;4;V;4;V;4;V;3;V;3;V;3;V;2;V;2;V;3;V;3;V;4;V;6;V;8;V;8;V;8;V;8;V;7;V;7;V;6;V;6;V;6;V;5;V
28;79;4;1;2021;1;4;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;4;V;5;V;6;V;6;V;7;V;7;V;7;V;6;V;6;V;6;V;5;V;5;V;5;V
28;79;4;1;2021;1;5;4;V;5;V;4;V;4;V;4;V;3;V;2;V;3;V;7;V;6;V;7;V;6;V;6;V;7;V;8;V;9;V;9;V;8;V;6;V;7;V;9;V;8;V;6;V;5;V
28;79;4;1;2021;1;6;4;V;3;V;3;V;2;V;2;V;2;V;2;V;1;V;1;V;2;V;3;V;3;V;3;V;5;V;7;V;8;V;9;V;8;V;7;V;7;V;8;V;6;V;6;V;5;V
28;79;4;1;2021;1;7;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;6;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V
28;79;4;1;2021;1;8;3;V;3;V;3;V;3;V;3;V;3;V;3;V;3;V;5;V;3;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;3;V;3;V;3;N;0;N;0;N;0;N
28;79;4;1;2021;1;11;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;1;V;4;V;6;V;7;V;7;V;6;V;6;V;5;V;4;V;4;V;3;V;3;V
28;79;4;1;2021;1;12;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;5;V;7;V;8;V;7;V;6;V;6;V;5;V;6;V;5;V;4;V;3;V
28;79;4;1;2021;1;13;3;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V;5;V;9;V;11;V;11;V;10;V;9;V;8;V;9;V;8;V;7;V;6;V;5;V
28;79;4;1;2021;1;14;4;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;4;V;4;V;5;V;8;V;12;V;15;V;15;V;13;V;12;V;12;V;12;V;12;V;12;V;10;V;9;V
28;79;4;1;2021;1;15;8;V;6;V;5;V;5;V;4;V;4;V;3;V;4;V;4;V;6;V;7;V;6;V;6;V;8;V;11;V;13;V;13;V;12;V;11;V;9;V;11;V;10;V;9;V;8;V
28;79;4;1;2021;1;16;6;V;5;V;5;V;4;V;4;V;3;V;3;V;3;V;4;V;4;V;5;V;6;V;9;V;13;V;18;V;16;V;15;V;14;V;14;V;14;V;14;V;12;V;10;V;8;V
28;79;4;1;2021;1;17;7;V;6;V;6;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;9;V;10;V;12;V;13;V;13;V;12;V;12;V;11;V;11;V;9;V;8;V;6;V
28;79;4;1;2021;1;18;6;V;5;V;5;V;4;V;4;V;4;V;4;V;5;V;6;V;8;V;10;V;9;V;10;V;14;V;15;V;15;V;15;V;14;V;15;V;16;V;15;V;12;V;9;V;8;V
28;79;4;1;2021;1;19;7;V;6;V;5;V;5;V;4;V;4;V;6;V;6;V;9;V;9;V;8;V;8;V;10;V;10;V;12;V;13;V;13;V;13;V;11;V;10;V;10;V;12;V;10;V;8;V
28;79;4;1;2021;1;20;7;V;6;V;6;V;5;V;6;V;5;V;6;V;7;V;7;V;7;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;1;22;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;3;N;5;N;5;N;7;N;8;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;1;23;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;1;N;2;N;4;N;5;N;5;N;5;N;6;N;5;N;5;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;1;25;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;2;N;2;N;3;N;1;N;2;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;1;26;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;4;N;0;N;1;N;5;N;3;N;6;N;0;N;0;N;0;N;0;N;1;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;1;27;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1;N;4;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;6;2021;1;1;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.4;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.2;V;0.3;V;0.2;V
28;79;4;6;2021;1;2;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.5;V;0.5;V;0.9;V;0.5;V;0.5;V
28;79;4;6;2021;1;3;0.7;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.4;V;0.2;V;0.2;V;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.5;V;0.4;V;0.3;V;0.3;V
28;79;4;6;2021;1;4;0.3;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.2;V;0.3;V;0.2;V;0.4;V;0.3;V;0.2;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.4;V;0.5;V;0.6;V;0.4;V;0.3;V
28;79;4;6;2021;1;5;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.5;V;1.3;V;1.2;V;0.9;V;0.6;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.5;V;3.2;N;0.9;V;0.5;V;0.4;V
28;79;4;6;2021;1;6;0.4;V;0.4;V;0.4;V;0.3;V;0.4;V;0.3;V;0.4;V;0.8;V;0.9;V;0.7;V;1.4;V;0.6;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.8;V;0.6;V;0.3;V;0.3;V
28;79;4;6;2021;1;7;0.3;V;0.3;V;0.3;V;0.2;V;0.2;V;0.2;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.3;V
28;79;4;6;2021;1;8;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.4;V;0.4;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;V;0.3;N;0;N;0;N;0;N
28;79;4;6;2021;1;11;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.6;N;0.6;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.7;V;0.5;V;0.4;V;0.4;V
28;79;4;6;2021;1;12;0.4;V;0.4;V;0.4;V;0.4;V;0.5;V;0.4;V;0.4;V;0.5;V;0.6;V;0.5;V;0.6;V;0.7;V;0.5;V;0.4;V;0.4;V;0.4;V;0.5;V;0.5;V;0.5;V;0.7;V;1.5;V;1.7;V;0.6;V;0.5;V
28;79;4;6;2021;1;13;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;1.4;V;1;V;1.3;V;1.2;V;0.9;V;1;V;0.8;V;0.8;V;0.6;V;0.6;V;0.6;V;0.6;V;1;V;0.9;N;0.8;N;0.7;V;0.7;V
28;79;4;6;2021;1;14;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;1.2;V;1.3;V;1.5;V;1.2;V;1;V;1.3;V;1;V;0.8;V;0.8;V;0.7;V;0.7;V;0.9;V;1.4;V;1.8;V;1.5;V;1.1;V;1;V
28;79;4;6;2021;1;15;0.8;V;0.8;V;0.7;V;0.7;V;0.6;V;0.6;V;0.6;V;1.2;V;1.3;V;1.5;V;1.4;V;1;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.7;V;0.7;V;0.7;V;1.8;V;1.4;V;0.8;V;0.8;V
28;79;4;6;2021;1;16;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.7;V;1.1;V;0.9;V;0.9;V;0.9;V;0.9;V;1.1;V;1.1;V;1.1;V;0.9;V;0.7;V;0.8;V;1;V;1.2;V;1.9;V;1.2;V;1;V;0.9;V
28;79;4;6;2021;1;17;0.8;V;0.8;V;0.9;V;0.9;V;0.8;V;0.7;V;0.8;V;0.9;V;1.7;V;1.1;V;1.1;V;1.3;V;0.9;V;0.7;V;0.6;V;0.6;V;0.5;V;0.6;V;0.6;V;1.2;V;1.3;V;1;V;0.8;V;0.7;V
28;79;4;6;2021;1;18;0.6;V;0.6;V;0.6;V;0.6;V;0.5;V;0.5;V;0.7;V;1.1;V;1.7;V;1.6;V;1.6;V;1.7;V;1.1;V;0.8;V;0.5;V;0.3;V;0.4;V;0.4;V;0.8;V;1;V;1.2;V;1.8;V;0.6;V;0.5;V
28;79;4;6;2021;1;19;0.5;V;0.5;V;0.5;V;0.4;V;0.4;V;0.4;V;0.5;V;1;V;1.1;V;0.9;V;1.1;V;1.2;V;0.8;V;0.4;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.8;V;1.4;V;0.7;V;0.6;V
28;79;4;6;2021;1;20;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V;0.4;V;0.4;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;6;2021;1;22;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.4;N;0.4;N;0.3;N;0.5;N;0.3;N;0.3;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;6;2021;1;23;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.4;N;0.4;N;0.3;N;0.2;N;0.2;N;0.2;N;0.2;N;0.2;N;0.2;N;0.2;N;0;N;0;N;0;N;0;N
28;79;4;6;2021;1;25;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.3;N;0.5;N;0.4;N;0.5;N;0.1;N;0.3;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;6;2021;1;26;0;N;0;N;0;N;0;N;0;N;0;N;0;N;1.2;N;1;N;0;N;0.3;N;0.9;N;0.5;N;0.5;N;0;N;0;N;0;N;0;N;0.1;N;0;N;0;N;0;N;0;N;0;N
28;79;4;6;2021;1;27;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0.7;N;1.4;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;7;2021;1;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;1;V;1;V;2;V;1;V
28;79;4;7;2021;1;2;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;5;V;4;V;4;V;4;V;4;V;3;V;3;V;2;V;2;V;15;V;10;V;10;V;19;V;18;V
