PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2021;6;1;10;V;10;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;12;V;11;V;11;V;10;V;10;V;13;N;11;N;8;V;8;V;7;V;6;V;7;V;9;V;10;V;10;V
28;79;4;1;2021;6;2;10;V;11;V;11;V;11;V;11;V;11;V;11;V;12;V;13;V;13;V;11;V;7;N;10;V;10;V;10;V;9;V;8;V;8;V;8;V;7;V;8;V;9;V;9;V;10;V
28;79;4;1;2021;6;3;10;V;10;V;11;V;11;V;11;V;11;V;11;V;11;V;12;V;11;V;11;V;11;V;11;V;11;V;10;V;9;V;10;V;10;V;8;V;7;V;7;V;8;V;9;V;10;V
28;79;4;1;2021;6;4;10;V;10;V;11;V;11;V;11;V;11;V;11;V;12;V;12;V;12;V;11;V;11;V;11;V;10;V;9;V;9;V;10;V;8;V;7;V;7;V;7;V;9;V;9;V;10;V
28;79;4;1;2021;6;5;11;V;10;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;11;V;10;V;10;V;11;V
28;79;4;1;2021;6;6;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;10;V;10;V;10;V;9;V;9;V;8;V;8;V;7;V;8;V;9;V;9;V;10;V;11;V
28;79;4;1;2021;6;7;11;V;14;N;14;N;11;V;11;V;11;V;11;V;12;V;12;V;11;V;10;V;10;V;9;V;9;V;8;V;8;V;8;V;7;V;9;N;6;V;7;V;9;V;9;V;10;V
28;79;4;1;2021;6;8;10;V;10;V;10;V;11;V;11;V;13;N;11;V;10;V;12;N;11;V;10;V;10;V;9;V;9;V;8;V;7;V;7;V;7;V;7;V;7;V;7;V;8;V;9;V;9;V
28;79;4;1;2021;6;9;9;V;9;V;10;V;10;V;10;V;11;V;11;V;12;N;14;N;14;N;11;V;10;V;9;V;9;V;7;V;7;V;7;V;7;V;7;V;6;V;7;V;7;V;9;V;9;V
28;79;4;1;2021;6;10;9;V;9;V;9;V;10;V;10;V;10;V;10;V;10;V;11;V;10;V;10;V;10;V;10;V;9;V;8;V;8;V;7;V;7;V;7;V;6;V;7;V;7;V;8;V;9;V
28;79;4;1;2021;6;11;9;V;9;V;10;V;10;V;10;V;10;V;11;V;10;V;11;V;10;V;10;V;10;V;9;V;9;V;8;V;7;V;7;V;7;V;7;V;8;V;9;V;10;V;10;V;10;V
28;79;4;1;2021;6;12;11;V;10;V;11;V;11;V;11;V;11;V;11;V;10;V;11;V;11;V;10;V;10;V;9;V;9;V;9;V;8;V;8;V;7;V;7;V;7;V;7;V;8;V;9;V;9;V
28;79;4;1;2021;6;13;9;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;9;V;9;V;8;V;8;V;7;V;8;V;7;V;7;V;7;V;9;N;14;N;14;N
28;79;4;1;2021;6;14;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;1;N;10;N;10;V;10;V;10;V;9;V;8;V;8;V;8;V;8;V;8;V;7;V;7;V;7;V;8;V;9;V
28;79;4;1;2021;6;15;10;V;10;V;10;V;10;V;11;V;11;V;11;V;11;V;11;V;10;V;10;V;9;V;9;V;9;V;9;V;8;V;7;V;8;V;8;V;8;V;8;V;8;V;9;V;9;V
28;79;4;1;2021;6;16;10;V;10;V;11;V;11;V;10;V;10;V;11;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;8;V;8;V;8;V;7;V;8;V;8;V;9;V;11;V;11;V
28;79;4;1;2021;6;17;12;V;11;V;13;N;15;N;12;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;12;V;11;V;11;V;10;V;10;V;9;V;10;V;11;V;11;V
28;79;4;1;2021;6;18;11;V;12;V;12;V;12;V;11;V;11;V;11;V;12;V;13;V;12;V;12;V;12;V;11;V;11;V;11;V;13;N;10;N;9;V;8;V;8;V;8;V;10;V;11;V;11;V
28;79;4;1;2021;6;19;11;V;11;V;11;V;12;V;11;V;11;V;11;V;12;V;12;V;11;V;11;V;11;V;10;V;10;V;10;V;9;V;9;V;8;V;7;V;7;V;8;V;9;V;10;V;10;V
28;79;4;1;2021;6;20;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;10;V;10;V;10;V;10;V;9;V;10;V;14;N;14;N;11;V
28;79;4;1;2021;6;21;12;V;12;V;11;V;12;V;12;V;11;V;11;V;12;V;12;V;13;V;12;V;12;V;12;V;11;V;10;V;10;V;9;V;9;V;9;V;9;V;10;V;10;V;10;V;11;V
28;79;4;1;2021;6;22;11;V;12;V;12;V;12;V;12;V;12;V;11;V;12;V;12;V;12;V;11;V;11;V;11;V;10;V;10;V;10;V;10;V;11;V;11;V;11;V;11;V;12;V;12;V;12;V
28;79;4;1;2021;6;23;12;V;12;V;12;V;14;V;14;V;12;V;11;V;12;V;12;V;12;V;11;V;10;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;9;V;8;V;9;V;10;V;10;V
28;79;4;1;2021;6;24;11;V;11;V;11;V;11;V;12;V;11;V;11;V;12;V;12;V;12;V;11;V;11;V;11;V;10;V;9;V;9;V;9;V;8;V;7;V;7;V;7;V;8;V;9;V;10;V
28;79;4;1;2021;6;25;10;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;11;V;10;V;10;V;10;V;10;V;9;V;9;V;8;V;7;V;7;V;7;V;7;V;8;V;9;V;10;V
28;79;4;1;2021;6;26;10;V;11;V;11;V;11;V;11;V;11;V;11;V;11;N;13;N;11;V;10;V;10;V;10;V;9;V;8;V;7;V;7;V;7;V;7;V;6;V;7;V;7;V;9;V;10;V
