PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2021;10;1;11;N;11;N;12;N;11;N;11;N;12;N;12;N;13;N;15;N;17;N;14;N;12;N;12;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;4;1;2021;10;8;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;7;N;9;N;8;N;8;N;10;N;11;N;12;N;11;N
28;79;4;1;2021;10;9;11;N;11;N;11;N;11;N;11;N;11;N;12;N;12;N;15;N;16;N;14;N;12;N;11;N;9;N;9;N;8;N;8;N;9;N;7;N;8;N;10;N;12;N;12;N;12;N
28;79;4;1;2021;10;10;12;N;12;N;11;N;12;N;11;N;12;N;12;N;11;N;12;N;12;N;11;N;11;N;11;N;10;N;9;N;9;N;9;N;8;N;9;N;8;N;10;N;11;N;12;N;12;N
28;79;4;1;2021;10;11;12;N;12;N;12;N;11;N;11;N;11;N;11;N;12;N;15;N;16;N;12;N;11;N;11;N;10;N;9;N;9;N;9;N;9;N;9;N;10;N;11;N;12;N;12;N;12;N
28;79;4;1;2021;10;12;12;N;12;N;11;N;12;N;12;N;12;N;12;N;13;N;14;N;14;N;13;N;12;N;12;N;10;N;8;N;8;N;8;N;7;N;7;N;9;N;10;N;11;N;11;N;11;N
28;79;4;1;2021;10;13;12;N;11;N;11;N;12;N;12;N;13;N;13;N;15;N;19;N;19;N;15;N;13;N;11;N;9;N;8;N;9;N;10;N;10;N;8;N;9;N;11;N;12;N;12;N;12;N
28;79;4;1;2021;10;14;12;N;13;N;13;N;14;N;13;N;13;N;14;N;16;N;20;N;19;N;17;N;15;N;12;N;11;N;9;N;10;N;9;N;9;N;9;N;10;N;11;N;13;N;14;N;14;N
28;79;4;1;2021;10;15;13;N;13;N;13;N;13;N;14;N;14;N;15;N;15;N;19;N;19;N;17;N;15;N;12;N;10;N;9;N;9;N;10;N;9;N;8;N;9;N;10;N;11;N;11;N;11;N
28;79;4;1;2021;10;16;11;N;12;N;12;N;12;N;12;N;13;N;14;N;14;N;16;N;15;N;13;N;14;N;13;N;11;N;10;N;10;N;10;N;10;N;10;N;10;N;11;N;12;N;13;N;12;N
28;79;4;1;2021;10;17;11;N;13;N;13;N;12;N;11;N;11;N;12;N;11;N;12;N;12;N;12;N;12;N;11;N;10;N;9;N;9;N;9;N;10;N;9;N;10;N;11;N;11;N;11;N;12;N
28;79;4;1;2021;10;18;12;N;11;N;11;N;12;N;12;N;15;N;13;N;13;N;15;N;15;N;15;N;13;N;11;N;9;N;8;N;8;N;16;N;2;V;1;V;1;V;3;V;5;V;6;V;5;V
28;79;4;1;2021;10;19;5;V;5;V;5;V;4;V;4;V;4;V;5;V;6;V;9;V;10;V;7;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;5;V;5;V
28;79;4;1;2021;10;20;5;V;4;V;4;V;4;V;4;V;4;V;5;V;6;V;10;V;10;V;8;V;5;V;4;V;3;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;3;V;3;V;3;V
