PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;1;2023;2;1;3;V;3;V;3;V;3;V;2;V;2;V;2;V;5;V;6;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;5;V;3;V;2;V
28;79;4;1;2023;2;2;2;V;2;V;2;V;2;V;2;V;2;V;2;V;5;V;7;V;8;V;7;V;6;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;4;V;7;V;6;V;5;V;4;V
28;79;4;1;2023;2;3;4;V;3;V;2;V;2;V;2;V;2;V;3;V;5;V;8;V;8;V;6;V;10;V;7;V;4;V;2;V;1;V;1;V;1;V;8;V;10;V;7;V;6;V;4;V;4;V
28;79;4;1;2023;2;4;3;V;3;V;3;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;5;V;6;V;5;V;2;V;2;V;1;V;1;V;1;V;5;V;7;V;5;V;5;V;4;V;4;V
28;79;4;1;2023;2;5;3;V;3;V;3;V;3;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;6;V;5;V;4;V;2;V;3;V
28;79;4;1;2023;2;6;2;V;2;V;2;V;2;V;2;V;2;V;2;V;6;V;9;V;11;V;7;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;7;1;V;1;V;1;V;1;V;2;V;1;V;2;V;3;V;5;V;6;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V
28;79;4;1;2023;2;8;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;1;V;1;N;1281;N;2;V;1;V;1;V;1;V;2;V;3;V;1;V;1;V;1;V
28;79;4;1;2023;2;9;1;V;2;V;2;V;2;V;2;V;1;V;1;V;4;V;4;V;4;V;3;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;1;V;2;V
28;79;4;1;2023;2;10;2;V;3;V;2;V;2;V;2;V;2;V;2;V;5;V;7;V;7;V;6;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V
28;79;4;1;2023;2;11;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V
28;79;4;1;2023;2;12;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;13;2;V;2;V;1;V;1;V;2;V;1;V;2;V;3;V;5;V;7;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;14;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;15;1;V;1;V;2;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V
28;79;4;1;2023;2;16;2;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;4;V;6;V;5;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;2;V;2;V;2;V;1;V
28;79;4;1;2023;2;17;1;V;1;V;1;V;2;V;1;V;1;V;2;V;4;V;6;V;8;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;4;V;3;V;1;V
28;79;4;1;2023;2;18;1;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;3;V;2;V;2;V;1;V
28;79;4;1;2023;2;19;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;2;V;1;V;1;V
28;79;4;1;2023;2;20;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;V;6;V;6;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;21;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;4;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;22;0;N;0;V;1;V;1;V;0;V;0;V;2;V;4;V;6;V;6;V;7;V;19;N;14;N;113;N;0;N;0;N;0;N;0;N;0;V;1;V;1;V;1;V;1;V;1;V
28;79;4;1;2023;2;23;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;5;N;76;N;369;N;41;N;508;N;31;N;14;N;17;N;1;N;2;V;2;V;2;V;3;V;2;V;2;V;2;V
28;79;4;1;2023;2;24;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;4;V;5;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;1;V;2;V;4;V
28;79;4;1;2023;2;25;4;V;3;V;3;V;2;V;2;V;2;V;2;V;3;V;4;V;3;V;4;V;4;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;2;V;2;V
28;79;4;1;2023;2;26;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;3;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V
28;79;4;1;2023;2;27;1;V;1;V;2;V;1;V;1;V;2;V;2;V;2;V;2;V;2;V;3;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V
28;79;4;1;2023;2;28;2;V;2;V;2;V;2;V;2;V;2;V;2;V;3;V;4;V;4;V;5;V;3;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;3;V;2;V;2;V
28;79;4;6;2023;2;1;0.6;V;0.6;V;0.6;V;0.5;V;0.5;V;0.4;V;0.5;V;0.6;V;0.8;V;0.6;V;0.3;V;0.3;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.4;V;0.8;V;1;V;0.9;V;0.6;V;0.5;V
