CODIGO;CODIGO_CORTO;ESTACION;DIRECCION;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;COD_TIPO;NOM_TIPO;NO2;SO2;CO;PM10;PM2_5;O3;BTX;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;Fecha alta;COORDENADA_X_ETRS89;COORDENADA_Y_ETRS89;LONGITUD;LATITUD
28079004;4;Plaza de España;Plaza de España;"3°42'43.91""O";"40°25'25.98""N";637;UT;Urbana tráfico;X;X;X;;;;;273600;PLAZA;DE;ESPAÑA;01/12/1998;4,395,793,291;4,475,049,263;-3.7122567;40.4238823
28079008;8;Escuelas Aguirre;Entre C/ Alcalá y C/ O’ Donell ;"3°40'56.22""O";"40°25'17.63""N";672;UT;Urbana tráfico;X;X;X;X;X;X;X;18900;CALLE;DE;ALCALA;01/12/1998;4,421,172,366;4,474,770,696;-3.6823158;40.4215533
28079011;11;Ramón y Cajal;Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara;"3°40'38.50""O";"40°27'5.29""N";709;UT;Urbana tráfico;X;;;;;;X;610450;CALLE;DEL;PRINCIPE DE VERGARA;01/12/1998;4,425,640,457;4,478,088,595;-3.6773491;40.4514734
28079016;16;Arturo Soria;C/ Arturo Soria  esq. C/  Vizconde de los Asilos ;"3°38'21.17""O";"40°26'24.20""N";695;UF;Urbana fondo;X;;;;;X;;798700;CALLE;DEL;VIZCONDE DE LOS ASILOS;01/12/1998;4,457,861,729;4,476,796,019;-3.6392422;40.4400457
28079017;17;Villaverde;C/ Juan Peñalver;"3°42'47.89""O";"40°20'49.74""N";601;UF;Urbana fondo;X;;;;;X;;417200;CALLE;DE;JUAN PEÑALVER;01/12/1998;4,394,207,015;4,466,532,455;-3.7133167;40.347147
28079018;18;Farolillo;C/ Farolillo - C/ Ervigio;"3°43'54.61""O";"40°23'41.22""N";625;UF;Urbana fondo;X;;;X;;X;X;1903;CALLE;DEL;FAROLILLO;31/03/2001;4,378,916,961;4,471,832,769;-3.7318356;40.3947825
28079024;24;Casa de Campo;Casa de Campo  (Terminal del Teleférico);"3°44'50.44""O";"40°25'9.69""N";645;S;Suburbana;X;;;X;X;X;;905219;CARRETERA;DEL;TELEFERICO;01/12/1998;4,365,985,637;4,474,571,618;-3.7473445;40.4193577
28079027;27;Barajas Pueblo;C/ Júpiter, 21;"3°34'48.10""O";"40°28'36.93""N";619;UF;Urbana fondo;X;;;;;X;;425700;CALLE;DE;JUPITER;31/12/2002;4,508,352,026;4,480,854,172;-3.5800258;40.4769179
28079035;35;Plaza del Carmen;Plaza del Carmen esq. Tres Cruces;"3°42'11.40""O";"40°25'9.15""N";660;UF;Urbana fondo;X;X;X;;;X;;145800;PLAZA;DEL;CARMEN;01/11/1999;4,403,463,619;4,474,524,357;-3.7031662;40.4192091
28079036;36;Moratalaz;Avda. Moratalaz  esq. Camino de los Vinateros;"3°38'43.02""O";"40°24'28.64""N";671;UT;Urbana tráfico;X;X;;X;;;;522000;AVENIDA;DE;MORATALAZ;01/12/1998;445,245,513;4,473,237,349;-3.6453104;40.4079517
