PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;4;83;28079004_83_98;2022;10;01;12.9;V;11.3;V;10.8;V;10.2;V;9.4;V;8.4;V;8;N;7.7;V;7.7;V;8.5;V;13.9;V;18.5;V;21.1;V;21.6;V;22.8;V;24.4;V;25.5;V;26.5;V;24.7;V;22.8;V;21.7;V;20.3;V;17.8;V;14.8;N
28;079;4;83;28079004_83_98;2022;10;02;14;V;13.3;V;12.5;V;12.7;V;11;V;12.3;V;12.9;V;9.8;V;9.6;V;10.8;V;17.8;V;21.3;V;23.8;V;25.5;N;27;V;28.3;V;30.2;N;30.1;N;28;V;26.5;V;25.5;V;20.9;V;19.2;V;17.7;N
28;079;4;83;28079004_83_98;2022;10;03;16.3;V;14.5;V;13.7;V;13.7;V;12.8;V;11.9;V;12.1;V;11.7;V;11.6;V;12.8;V;17;V;22.2;V;24.6;V;27;V;26.7;V;29.4;V;28.8;V;27.8;V;26.9;V;25.8;V;24.8;V;23.6;V;22.6;V;18.7;V
28;079;4;83;28079004_83_98;2022;10;04;17;V;16.3;V;15.2;V;14.5;V;13.6;V;13.1;V;12.1;V;12.4;V;12.3;V;12.7;V;17.3;V;21.3;V;25;V;28.6;V;30.4;V;31.6;V;32.4;V;31.1;V;29.8;V;28;V;25.4;V;23.7;V;22;V;20.3;V
28;079;4;83;28079004_83_98;2022;10;05;18.5;V;17.5;V;16.5;V;15.1;V;14.7;V;13.7;V;13.1;V;13.2;V;13.4;V;13.7;V;17.7;V;22.3;V;24.7;V;26.5;V;27.1;V;28;V;29.4;V;29.5;V;28.3;V;26.7;V;25;V;23.2;V;20.7;V;19.6;V
28;079;4;83;28079004_83_98;2022;10;06;22.2;V;21.5;V;20.4;V;19.2;V;19.2;V;19;V;18.6;V;16.2;V;17.5;V;18;V;19.4;V;21.3;V;22.6;V;25.1;V;26.3;V;26.8;V;26.7;V;27.6;V;26.2;V;25.1;V;24.1;V;21.7;V;21.5;V;20.7;V
28;079;4;83;28079004_83_98;2022;10;07;19.4;V;18.5;V;18.3;V;16.3;V;14.8;V;14.2;V;13.1;V;12.6;V;12.5;V;13.3;V;16.3;V;19.5;V;21.3;V;22.5;V;22.9;V;24.4;V;25.2;V;25.1;V;24.3;V;22.7;V;21.7;V;20.3;V;18.5;V;17.5;V
28;079;4;83;28079004_83_98;2022;10;08;16.3;V;15.5;V;14.5;V;14.1;V;14.8;V;14.4;V;13.4;V;12.3;V;11.7;V;12.7;V;17.3;V;20.9;V;22.4;V;24.5;V;25;V;26.2;V;27.4;V;26.6;V;25;V;24.3;V;22.3;V;20.6;V;21.9;V;19.9;V
28;079;4;83;28079004_83_98;2022;10;09;19.3;V;18.9;V;18.6;V;18;V;17.6;V;17.5;V;17.7;V;17.3;V;17.3;V;17.8;V;18.1;V;19.5;V;21.7;V;23.2;V;24.7;V;25.5;V;26.2;V;26.5;V;25.1;V;23.5;V;22.1;V;21.1;V;19.6;V;17.5;V
28;079;4;83;28079004_83_98;2022;10;10;16.6;V;16.2;V;15.4;V;15.3;V;15.4;V;17.5;V;17.8;V;16.8;V;15.5;V;16.3;V;16.5;V;17.6;V;19.2;V;19.4;V;21.1;V;21.8;V;20.7;V;18;V;18;V;17.4;V;17;V;17.9;V;17.2;V;17.3;V
28;079;4;83;28079004_83_98;2022;10;11;17.5;V;17.3;V;17.1;V;17;V;16.7;V;16.3;V;16.2;V;16.1;V;15.9;V;16.1;V;16.8;V;18.7;V;20.1;V;21.4;V;22.5;V;23.6;V;22.3;V;20.9;V;20.2;V;20;V;19.6;V;19.6;V;18.7;V;18.1;V
28;079;4;83;28079004_83_98;2022;10;12;17.7;V;16.4;V;14.6;V;14.3;V;13.5;V;13.4;V;13.2;V;12.3;V;11.8;V;12.9;V;17.1;V;18.9;V;21.4;V;23;V;24.5;V;25.6;V;26;V;26.7;V;24.6;V;22.7;V;21.8;V;20.9;V;19.9;V;19.3;V
28;079;4;83;28079004_83_98;2022;10;13;18.4;V;16.1;V;15.2;V;14.2;V;13.5;V;13;V;12.2;V;12.4;V;12.1;V;12.7;V;16;V;19.7;V;22.2;V;23.5;V;25.4;V;26;V;26.1;V;25.6;V;24.8;V;23.7;V;22.6;V;21.6;V;20.4;V;18.9;V
28;079;4;83;28079004_83_98;2022;10;14;16.7;V;15.7;V;14.9;V;13.8;V;13.4;V;12.6;V;11.9;V;11.8;V;11.7;V;12.4;V;16.2;V;20.3;V;23.7;V;24.5;V;26.3;V;28.4;V;29.6;V;29.4;V;27.8;V;25.5;V;24.6;V;22.3;V;20.1;V;17.6;V
28;079;4;83;28079004_83_98;2022;10;15;15.9;V;15.4;V;14.2;V;13.3;V;12.7;V;11.8;V;11.8;V;11;V;10.9;V;12.1;V;15.9;V;20.8;V;24.4;V;26;V;27.3;V;28.4;V;28.3;V;28.4;V;26.9;V;25.1;V;24;V;22.3;V;21.8;V;20.4;V
28;079;4;83;28079004_83_98;2022;10;16;18.9;V;18.4;V;17.3;V;14.7;V;13.8;V;13.3;V;11.7;V;11.3;V;10.8;V;11.5;V;15.5;V;20.8;V;22.8;V;23.1;V;23.4;V;25.5;V;25.4;V;25.6;V;25.4;V;24.8;V;23.3;V;20.2;V;20;V;19.3;V
28;079;4;83;28079004_83_98;2022;10;17;19.8;V;19.6;V;18.7;V;17.3;V;17.6;V;17.1;V;16.7;V;17.1;V;16.7;V;16.9;V;17.8;V;19.6;V;20.8;V;24.1;V;25.5;V;27.1;V;27.3;V;27.7;V;27.2;V;24.8;V;23.3;V;20.9;V;18.7;V;17.3;V
