PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;102;81;2023;2;1;1.52;V;1.97;V;2.12;V;1.67;V;2;V;1.35;V;1.87;V;1.63;V;1.67;V;2.15;V;2.05;V;2;V;2.35;V;2.47;V;2.45;V;2.45;V;1.98;V;1.22;V;0.97;V;1.07;V;0.53;V;0.75;V;0.75;V;1.48;V
28;79;102;81;2023;2;2;1.55;V;1.65;V;2.58;V;2.7;V;2.15;V;1.72;V;1.93;V;1.93;V;3.1;V;2.82;V;1.87;V;1.08;V;0.53;V;0.73;V;0.65;V;0.62;V;1.1;V;0.88;V;0.6;V;0.73;V;0.2;V;0.55;V;0.65;V;0.72;V
28;79;102;81;2023;2;3;0.23;V;0.88;V;1.33;V;0.88;V;1.97;V;1.1;V;0.82;V;0.7;V;0.68;V;0.88;V;0.85;V;1.25;V;1.17;V;0.88;V;0.53;V;1;V;1.18;V;1.12;V;0.47;V;0.33;V;0.07;V;1.23;V;1.62;V;1.12;V
28;79;102;81;2023;2;4;0.68;V;0.3;V;0.62;V;0.63;V;0.4;V;0.32;V;0.58;V;0.5;V;0.52;V;0.87;V;0.75;V;0.6;V;0.9;V;0.62;V;0.87;V;0.53;V;0.98;V;1.43;V;0.83;V;1.05;V;1.57;V;1.87;V;1.73;V;0.87;V
28;79;102;81;2023;2;5;1.1;V;1.12;V;0.7;V;1.02;V;2.17;V;2.57;V;4.42;V;5.38;V;3.3;V;3.2;V;3.67;V;3.82;V;3.95;V;2.6;V;1.53;V;1.15;V;1.62;V;1.2;V;0.43;V;0.7;V;1.02;V;1.47;V;2.25;V;2.33;V
28;79;102;81;2023;2;6;3.15;V;2.6;V;1.12;V;1.67;V;2.2;V;1.9;V;0.82;V;0.82;V;0.82;V;0.55;V;0.85;V;3.45;V;6.42;V;6.57;V;5.18;V;4.72;V;3.93;V;4.78;V;3.47;V;4.6;V;3.8;V;3.13;V;2.8;V;2.73;V
28;79;102;81;2023;2;7;2.85;V;2.37;V;3;V;2.77;V;2.3;V;1.55;V;1.58;V;1.95;V;1.4;V;0.95;V;1.43;V;1.98;V;0.47;V;0.83;V;1.85;V;1.68;V;1.73;V;1.55;V;1.4;V;2.72;V;2.52;V;3.53;V;3.03;V;2.72;V
28;79;102;81;2023;2;8;2.65;V;3.38;V;2.75;V;2.43;V;2.62;V;2.87;V;3.13;V;3.27;V;3;V;2.75;V;3.13;V;3.1;V;2.6;V;2.37;V;2.45;V;1.77;V;1.63;V;1.15;V;0.93;V;0.52;V;0.38;V;1.42;V;1.98;V;1.57;V
28;79;102;81;2023;2;9;1.32;V;1.03;V;0.8;V;1.12;V;1.03;V;0.63;V;0.42;V;0.82;V;0.22;V;0.57;V;0.72;V;0.93;V;0.5;V;1.55;V;1.42;V;0.92;V;1.27;V;1.28;V;2.1;V;1.45;V;0.87;V;1.23;V;1.85;V;1.47;V
28;79;102;81;2023;2;10;0.95;V;1.47;V;1.15;V;1.55;V;1.97;V;2.25;V;2.25;V;1.13;V;1.7;V;2.15;V;2.15;V;0.95;V;1.27;V;1.47;V;2.02;V;1.93;V;3.28;V;2.82;V;2.5;V;2.2;V;1.53;V;1.5;V;2.1;V;1.62;V
